Location of Charging points in Prague, Czech Republic;;;;;
;;;;;
Source:;https://www.evmapa.cz;;;;
Name;Address;Latitude;Longitude;Type of charger;
PRE ÚMČ Praha 22;Nové náměstí 1250, 104 00 Praha 22-Uhříněves;50.031901;14.599285;16A 230V, Typ 2;
Praha ČEZ AUTO JAROV;Vídeňská 126, 140 00 Praha 4 - Kunratice;50.010441;14.477246;CHAdeMO, CCS, Typ 2;
PRE Skanska;Líbalova 2348, 149 00 Praha 4-Chodov;50.030204;14.508321;16A 230V, Typ 2;
ČEZ Chodov Park;V parku 2309/6, 148 00 Praha 4 - Chodov;50.028985;14.493003;16A 230V, Typ 2;
PRE Centrum Chodov;Roztylská 2321, 149 00 Praha 4-Chodov;50.032171;14.49087;16A 230V, Typ 2;
ČEZ Novodvorská Plaza;Novodvorská 1800/136, 142 00 Praha 4;50.025911;14.432988;16A 230V, Typ 2;
ENGIE Services;Lhotecká 793/3, 143 00 Praha 4;50.014721;14.424173;2x Mennekes Type2;
ČEZ OC Kaufland - Modřany;Lhotecká 2109/2d, 143 00 Praha 4;50.012965;14.417995;16A 230V, Typ 2;
VanCo.cz;U čokoládoven 9, 143 00 Praha 12;50.014992;14.40359;Typ 2;
ČEZ MČ Praha 16;Vrážská, 252 28 Praha 16;49.984993;14.36399;CHAdeMO, CCS, Typ 2;
Praha ČEZ MČ Praha 16;Nám. Osvoboditelů/K Cementárně, Praha 16;49.983436;14.358891;2x Mennekes 1x 16A 230V;
MOL Praha K Barrandovu;K Barrandovu, 152 00 Praha 5-Barrandov, 152 00 ;50.030404;14.380962;CHAdeMO, CCS, Typ 2;
Dobijeci stanice LIDL;K Barrandovu, 152 00 Praha 5-Hlubočepy;;;;
PRE point U Družstva Práce;U Družstva Práce 801/56, 140 00 Praha 4;50.042086;14.430983;2x Mennekes Typ 2;
ČEZ Centrála ČEZ, a.s.;Duhová 2, 252 42 Praha 4;50.048988;14.451999;16A 230V, Typ 2;
ČEZ Rychlodobíjecí stanice;Duhová, 252 42 Praha 4;50.048988;14.451005;CHAdeMO, CCS, Typ 2;
ČEZ Arkády Pankrác;Na Pankráci 86, 140 00 Praha;50.051159;14.439103;16A 230V, Typ 2;
;Milevská Praha 4 (McKinsey);;;;
Praha Pražská plynárenská, a.s;U Plynárny 500/44, 145 08 Praha;50.055446;14.462401;CHAdeMO, CCS, Typ 2;
Praha ČEZ Burger King;Chodovská 3/228, 141 00 Praha 4 - Michle;50.053032;14.473618;CHAdeMO, CCS, Typ 2;
Elektromobily Protech;Strašnická 3165/1b, 102 00 Praha;50.058262;14.513218;16A 230V, 16A 400V, 32A 400V, Typ 2;
PRE Vršovice;Na Hroudě 1492, 100 00 Praha 10-Vršovice;50.069253;14.480984;16A 230V, Typ 2;
Comfort Hotel Prague City East;Bečvářova 2081/14, 10000 Praha;50.07624;14.4936;32A 400V, Typ 2;
Innogy;Limuzská, Praha 10;50.079533;14.508986;CHAdeMO, CCS, Typ 2;
Innogy 2;Dřevčická, 10800 Praha 10;50.080001;14.511359;32A 400V, CHAdeMO, CCS, Typ 2;
Efacec QC 45 - Dřevčická;Dřevčická, 15500 Praha 10;50.080378;14.510707;CHAdeMO, CCS, Typ 2;
TUkas - provozovna Štěrboholy;K Hrušovu 344/6, 102 00 Praha 10;50.068876;14.452652;CCS, Typ 2;
PRE Europark Štěrboholy;Nákupní 389, Praha 10-Štěrboholy;50.072509;14.542113;16A 230V, Typ 2;
Fashion Arena Průmyslová;108 00 Praha 10 Sterboholy;50.074704;14.54031;16A 230V, 16A 400V, Typ 2;
ČEZ Průmyslová; Průmyslová 614/30, 108 00 Praha 10;50.077837;14.539161;32A 400V, CHAdeMO, CCS, Typ 2;
Nano Power Testing;Tiskarska 599/12, Budova A1.5, 10800 Praha;50.081927;14.535303;Typ 2;
Počernický Pivovar;Národních hrdinů 3, 190 12 Praha;50.088258;14.581415;Typ 2;
Golf Resort Černý Most;Národních hrdinů, 19000 Praha 9;50.092936;14.586678;32A 400V, Typ 2;
Innogy energo s.r.o. Horní Počernice;Náchodská, 193 00 Praha;50.113357;14.601548;CHAdeMO, CCS, Typ 2;
PRE IKEA Černý Most;Chlumecká 712, 198 00 Praha 9-Černý Most;50.10446;14.586986;16A 230V, Typ 2;
PRE XXX Lutz Černý Most;Chlumecká 712, 198 00 Praha 9-Černý Most;50.106125;14.586441;16A 230V, Typ 2;
CCM (PRE) Centrum Černý Most;Chlumecká 765, 19800 Praha;50.108939;14.584593;16A 230V, Typ 2;
Praha ČEZ Mc Donald's CCM;Chlumecká 765/6, 198 00 Praha 9;50.1098;14.583386;16A 230V, Typ 2;
E.ON - MOL Praha Skorkovská;Skorkovská 2438, 198 00 Praha;50.110454;14.575884;CHAdeMO, CCS, Typ 2;
E.ON Penny Market - Lehovec;Kolbenova 1094, 198 00 Praha, Hloubětín;50.107954;14.547133;CHAdeMO, CCS, Typ 2;
ČEZ - Kaufland Kolbenova;Kolbenova 893/39, 198 00 Praha 9;50.108751;14.545951;CHAdeMO, CCS, Typ 2;
PRE Transfer Energy (Letňany);Beranových 65, 199 00 Praha 9-Letňany;50.135;14.5143;16A 230V, Typ 2;
PRE - Lidl Čakovice;Schöellerova 1027, 196 00 Praha - Čakovice;50.155908;14.522797;32A 400V, CHAdeMO, CCS;
E.ON - Globus Praha Čakovice;Kostelecká 823/77, 196 00 Praha;50.151444;14.507928;CHAdeMO, CCS, Typ 2;
Green24 Holding, a.s;Freyova 945/35, 190 00 Praha 9-Vysočany;50.110289;14.501588;16A 230V, Typ 2;
PRE Galerie Harfa (Libeň);Českomoravská 2420, 190 00 Praha 9-Libeň;50.103633;14.491454;16A 230V, Typ 2;
VEOLIA Krejcárek;Novovysočanská 604, 190 00 Praha 9;50.099795;14.484031;CHAdeMO, CCS, Typ 2;
ČEZ OC Kaufland - Palmovka;Voctářova 2401/8, 180 00 Praha 8;50.101987;14.467999;16A 230V, Typ 2;
E.ON - MOL Praha Liberecká OUT;Liberecká, 180 00 Praha;50.121314;14.476236;CHAdeMO, CCS, Typ 2;
ČEZ AAA Auto Praha;Dopraváků 723/1, 184 00 Praha 8;50.137193;14.448111;16A 230V, Typ 2;
Praha ČEZ KARLÍN;Křižíkova 148/34, 186 00 Praha;50.0919;14.451011;32A 400V, CHAdeMO, CCS, Typ 2;
Praha ČEZ Žižkovská věž;Mahlerovy sady 1, 130 00 Praha;50.080734;14.451343;16A 230V, Typ 2;
Botanique Hotel Prague;Sokolovská 204/11, 186 00 Praha;50.091616;14.440024;Typ 2;
Praha City Center;Klimentská 46, 110 00 Praha 1;50.0923;14.4338;CHAdeMO;
Praha OlifeEnergy - Palladium;nám. Republiky 1, 11000 Praha;50.089178;14.428727;Typ 1, Typ 2;
Millennium;V Celnici 10, 110 00 Praha;50.08827;14.430978;32A 400V, Typ 2;
Praha ČEZ Vinci Park;Wilsonova 300/8, 110 00 Praha 1;50.083241;14.435021;16A 230V, Typ 2;
Art Nouveau Palace Hotel Prague;Panská 897/12, 110 00 Praha 1;50.084092;14.427579;16A 230V, 16A 400V,Typ 2;
Parking Opletalova 9;Opletalova 917/9, 110 00 Praha 1;50.081813;14.430086;Typ 2;
PRE K+K Hotel Fenix (Nové Město);Ve Smečkách 596, 110 00 Praha 1-Nové Město;50.079617;14.427608;16A 230V, Typ 2;
Alcron Hotel Praha;Štěpánská 623/40, 110 00 Praha;50.080267;14.426369;Typ 2;
Praha ČEZ Národní divadlo;Ostrovní 225/1, 110 00 Praha 1;50.080981;14.414001;16A 230V, Typ 2;
PRE ČVUT Fakulta dopravní;Horská 2040/3, 251 01 Praha 2-Nové Město;50.067135;14.424092;16A 230V, Typ 2;
;;;;;
Dodelat levou stranu Vltavy mimo Barrandov;;;;;