fid;id;left;top;right;bottom;name;latitude;longitude;latitude_touch
1;1;;;;;;50.031901;14.599285;50.031901
2;2;;;;;;50.010441;14.477246;50.010441
3;3;;;;;;50.030204;14.508321;50.030204
4;4;;;;;;50.028985;14.493003;50.028985
5;5;;;;;;50.032171;14.49087;50.032171
6;6;;;;;;50.025911;14.432988;50.025911
7;7;;;;;;50.014721;14.424173;50.014721
8;8;;;;;;50.012965;14.417995;50.012965
9;9;;;;;;50.014992;14.40359;50.014992
10;10;;;;;;49.984993;14.36399;49.984993
11;11;;;;;;49.983436;14.358891;49.983436
12;12;;;;;;50.030404;14.380962;50.030404
13;13;;;;;;50.030404;14.380962;50.030404
14;14;;;;;;50.042086;14.430983;50.042086
15;15;;;;;;50.048988;14.451999;50.048988
16;16;;;;;;50.048988;14.451005;50.048988
17;17;;;;;;50.051159;14.439103;50.051159
18;18;;;;;;50.055446;14.462401;50.055446
19;19;;;;;;50.053032;14.473618;50.053032
20;20;;;;;;50.058262;14.513218;50.058262
21;21;;;;;;50.069253;14.480984;50.069253
22;22;;;;;;50.07624;14.4936;50.07624
23;23;;;;;;50.079533;14.508986;50.079533
24;24;;;;;;50.080001;14.511359;50.080001
25;25;;;;;;50.080378;14.510707;50.080378
26;26;;;;;;50.068876;14.452652;50.068876
27;27;;;;;;50.072509;14.542113;50.072509
28;28;;;;;;50.074704;14.54031;50.074704
29;29;;;;;;50.077837;14.539161;50.077837
30;30;;;;;;50.081927;14.535303;50.081927
31;31;;;;;;50.088258;14.581415;50.088258
32;32;;;;;;50.092936;14.586678;50.092936
33;33;;;;;;50.113357;14.601548;50.113357
34;34;;;;;;50.10446;14.586986;50.10446
35;35;;;;;;50.106125;14.586441;50.106125
36;36;;;;;;50.108939;14.584593;50.108939
37;37;;;;;;50.1098;14.583386;50.1098
38;38;;;;;;50.110454;14.575884;50.110454
39;39;;;;;;50.107954;14.547133;50.107954
40;40;;;;;;50.108751;14.545951;50.108751
41;41;;;;;;50.135;14.5143;50.135
42;42;;;;;;50.155908;14.522797;50.155908
43;43;;;;;;50.151444;14.507928;50.151444
44;44;;;;;;50.110289;14.501588;50.110289
45;45;;;;;;50.103633;14.491454;50.103633
46;46;;;;;;50.099795;14.484031;50.099795
47;47;;;;;;50.101987;14.467999;50.101987
48;48;;;;;;50.121314;14.476236;50.121314
49;49;;;;;;50.137193;14.448111;50.137193
50;50;;;;;;50.0919;14.451011;50.0919
51;51;;;;;;50.080734;14.451343;50.080734
52;52;;;;;;50.091616;14.440024;50.091616
53;53;;;;;;50.0923;14.4338;50.0923
54;54;;;;;;50.089178;14.428727;50.089178
55;55;;;;;;50.08827;14.430978;50.08827
56;56;;;;;;50.083241;14.435021;50.083241
57;57;;;;;;50.084092;14.427579;50.084092
58;58;;;;;;50.081813;14.430086;50.081813
59;59;;;;;;50.079617;14.427608;50.079617
60;60;;;;;;50.080267;14.426369;50.080267
61;61;;;;;;50.080981;14.414001;50.080981
62;62;;;;;;50.067135;14.424092;50.067135
63;63;;;;;;50.051655;14.407023;50.051655
64;64;;;;;;50.055211;14.341443;50.055211
65;65;;;;;;50.050984;14.34425;50.050984
66;66;;;;;;50.0524;14.3516;50.0524
67;67;;;;;;50.0498;14.3525;50.0498
68;68;;;;;;50.043794;14.331536;50.043794
69;69;;;;;;50.049372;14.317364;50.049372
70;70;;;;;;50.055892;14.311001;50.055892
71;71;;;;;;50.051236;14.297225;50.051236
72;72;;;;;;50.052295;14.295506;50.052295
73;73;;;;;;50.076979;14.341004;50.076979
74;74;;;;;;50.079096;14.309135;50.079096
75;75;;;;;;50.077704;14.405208;50.077704
76;76;;;;;;50.07342;14.403565;50.07342
77;77;;;;;;50.072986;14.401142;50.072986
78;78;;;;;;50.072877;14.401142;50.072877
79;79;;;;;;50.093073;14.322943;50.093073
80;80;;;;;;50.092526;14.290763;50.092526
81;81;;;;;;50.115042;14.39305;50.115042
82;82;;;;;;50.100249;14.448907;50.100249
83;83;;;;;;50.108354;14.430702;50.108354
84;84;;;;;;50.106313;14.43481;50.106313
85;85;;;;;;50.106988;14.441828;50.106988